KCAT	Bacillus subtilis	-999	more	*the enzyme exhibits Michaelis-Menten kinetics towards the heptaprenyl phosphate and dodecaprenyl phosphate lipid substrates. The catalytic constants kcat are 295/min and 54/min, respectively. The kcat for heptaprenyl phosphate is by 6fold lower than those determined for the longer-chain length lipids undecaprenyl phosphate and dodecaprenyl phosphate with 340/min and 295/min, respectively
KCAT	Bacillus subtilis	-999	UDP-N-acetylmuramoyl-pentapeptide	*11fold increase in kcat for mutant D98N at pH 9.4 (ca. 0.0083 1/sec) compared to pH 7.2
KCAT	Bacillus subtilis	-999	undecaprenyl phosphate	*11fold increase in kcat for mutant D98N at pH 9.4 (ca. 0.0083 1/sec) compared to pH 7.2
KCAT	Bacillus subtilis	0.00005	UDP-N-acetylmuramoyl-pentapeptide	*mutant H289R
KCAT	Bacillus subtilis	0.00005	undecaprenyl phosphate	*mutant H289R
KCAT	Bacillus subtilis	0.00083	UDP-N-acetylmuramoyl-pentapeptide	*mutant D99N
KCAT	Bacillus subtilis	0.00083	undecaprenyl phosphate	*mutant D99N
KCAT	Bacillus subtilis	0.00117	UDP-N-acetylmuramoyl-pentapeptide	*mutant D98N
KCAT	Bacillus subtilis	0.00117	undecaprenyl phosphate	*mutant D98N
KCAT	Bacillus subtilis	0.0015	UDP-N-acetylmuramoyl-pentapeptide	*mutant K116Q
KCAT	Bacillus subtilis	0.0015	undecaprenyl phosphate	*mutant K116Q
KCAT	Bacillus subtilis	0.00383	UDP-N-acetylmuramoyl-pentapeptide	*mutant H290R
KCAT	Bacillus subtilis	0.00383	undecaprenyl phosphate	*mutant H290R
KCAT	Bacillus subtilis	0.0123	UDP-N-acetylmuramoyl-pentapeptide	*mutant D174N
KCAT	Bacillus subtilis	0.0123	undecaprenyl phosphate	*mutant D174N
KCAT	Bacillus subtilis	0.0135	UDP-N-acetylmuramoyl-pentapeptide	*mutant N171A
KCAT	Bacillus subtilis	0.0135	undecaprenyl phosphate	*mutant N171A
KCAT	Bacillus subtilis	0.0163	UDP-N-acetylmuramoyl-pentapeptide	*mutant D231N
KCAT	Bacillus subtilis	0.0163	undecaprenyl phosphate	*mutant D231N
KCAT	Bacillus subtilis	0.023	UDP-N-acetylmuramoyl-pentapeptide	*mutant H45R
KCAT	Bacillus subtilis	0.023	undecaprenyl phosphate	*mutant H45R
KCAT	Bacillus subtilis	0.027	UDP-N-acetylmuramoyl-pentapeptide	*mutant K48Q
KCAT	Bacillus subtilis	0.027	undecaprenyl phosphate	*mutant K48Q
KCAT	Bacillus subtilis	0.0317	UDP-N-acetylmuramoyl-pentapeptide	*mutant H291R
KCAT	Bacillus subtilis	0.0317	undecaprenyl phosphate	*mutant H291R
KCAT	Bacillus subtilis	0.065	UDP-N-acetylmuramoyl-pentapeptide	*mutant D177N
KCAT	Bacillus subtilis	0.065	undecaprenyl phosphate	*mutant D177N
KCAT	Bacillus subtilis	0.0717	UDP-N-acetylmuramoyl-pentapeptide	*mutant N168A
KCAT	Bacillus subtilis	0.0717	undecaprenyl phosphate	*mutant N168A
KCAT	Bacillus subtilis	0.53	UDP-N-acetylmuramoyl-pentapeptide	*mutant E299Q
KCAT	Bacillus subtilis	0.53	undecaprenyl phosphate	*mutant E299Q
KCAT	Bacillus subtilis	5.3	UDP-N-acetylmuramoyl-pentapeptide	*wild-type
KCAT	Bacillus subtilis	5.3	undecaprenyl phosphate	*wild-type
KCAT	Bacillus subtilis	5.33	UDP-Mur2Ac(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	*
KCAT	Bacillus subtilis	5.33	undecaprenyl phosphate	*
